文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
urls.py,30,4,4,22,0.7333333333333333,0.13333333333333333,0.13333333333333333
wsgi.py,16,4,6,6,0.375,0.25,0.375
__init__.py,0,0,0,0,0,0,0
manage.py,15,1,1,13,0.8666666666666667,0.06666666666666667,0.06666666666666667
settings.py,121,18,33,70,0.5785123966942148,0.1487603305785124,0.2727272727272727
urls.py,24,4,1,19,0.7916666666666666,0.16666666666666666,0.041666666666666664
wsgi.py,16,4,6,6,0.375,0.25,0.375
__init__.py,0,0,0,0,0,0,0
tianyanSpider.py,80,0,9,71,0.8875,0.0,0.1125
as.py,3,0,1,2,0.6666666666666666,0.0,0.3333333333333333
items.py,21,5,4,12,0.5714285714285714,0.23809523809523808,0.19047619047619047
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.23300970873786409
pipelines.py,99,13,21,65,0.6565656565656566,0.13131313131313133,0.21212121212121213
settings.py,96,63,18,15,0.15625,0.65625,0.1875
CQtianqi.py,59,5,7,47,0.7966101694915254,0.0847457627118644,0.11864406779661017
__init__.py,4,4,0,0,0.0,1.0,0.0
__init__.py,0,0,0,0,0,0,0
__init__.py,0,0,0,0,0,0,0
certification.py,93,2,4,87,0.9354838709677419,0.021505376344086023,0.043010752688172046
file.py,0,0,0,0,0,0,0
fuzeren.py,41,4,2,35,0.8536585365853658,0.0975609756097561,0.04878048780487805
test.py,48,0,3,45,0.9375,0.0,0.0625
wechat_qun.py,99,1,13,85,0.8585858585858586,0.010101010101010102,0.13131313131313133
xueyuan.py,61,3,5,53,0.8688524590163934,0.04918032786885246,0.08196721311475409
zhujiao.py,44,0,6,38,0.8636363636363636,0.0,0.13636363636363635
zhunfuzeren.py,44,4,5,35,0.7954545454545454,0.09090909090909091,0.11363636363636363
cloud_music.py,128,14,10,104,0.8125,0.109375,0.078125
