文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
compat.py,114,9,21,84,0.7368421052631579,0.07894736842105263,0.18421052631578946
views.py,113,1,5,107,0.9469026548672568,0.008849557522123894,0.04424778761061947
反射.py,113,34,38,41,0.3628318584070797,0.3008849557522124,0.33628318584070804
rwobject_test.py,112,0,13,99,0.8839285714285714,0.0,0.11607142857142858
is_mobphone.py,112,2,11,99,0.8839285714285714,0.017857142857142856,0.09821428571428573
test.py,110,5,11,94,0.8545454545454545,0.045454545454545456,0.1
glcube.py,109,11,27,71,0.6513761467889908,0.10091743119266056,0.24770642201834864
bbs_genspider.py,109,4,16,89,0.8165137614678899,0.03669724770642202,0.14678899082568808
joystick_test.py,107,3,23,81,0.7570093457943925,0.02803738317757009,0.21495327102803735
tensorflow_autoencoder1.py,107,6,14,87,0.8130841121495327,0.05607476635514018,0.1308411214953271
snake_func.py,106,2,13,91,0.8584905660377359,0.018867924528301886,0.12264150943396225
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
freetype_misc.py,103,0,22,81,0.7864077669902912,0.0,0.21359223300970875
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
py_pandas_sel.py,103,50,1,52,0.5048543689320388,0.4854368932038835,0.009708737864077669
json序列化.py,103,37,19,47,0.4563106796116505,0.3592233009708738,0.18446601941747573
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.2330097087378641
vgrade.py,103,3,24,76,0.7378640776699029,0.029126213592233014,0.2330097087378641
sndarray.py,103,47,23,33,0.32038834951456313,0.4563106796116505,0.2233009708737864
blend_fill.py,102,1,20,81,0.7941176470588235,0.00980392156862745,0.19607843137254904
sfda_spider.py,102,8,16,78,0.7647058823529411,0.0784313725490196,0.1568627450980392
属性方法.py,102,23,26,53,0.5196078431372549,0.22549019607843135,0.2549019607843137
fonty.py,101,4,27,70,0.6930693069306929,0.0396039603960396,0.2673267326732673
main.py,101,1,16,84,0.8316831683168316,0.0099009900990099,0.15841584158415842
getHtml.py,100,7,6,87,0.87,0.07,0.06
wechat_qun.py,99,1,13,85,0.8585858585858586,0.010101010101010102,0.13131313131313133
pipelines.py,99,13,21,65,0.6565656565656566,0.13131313131313133,0.21212121212121213
analysis.py,99,1,22,76,0.7676767676767676,0.010101010101010102,0.2222222222222222
cursors.py,99,1,10,88,0.8888888888888888,0.010101010101010102,0.101010101010101
_camera_opencv_highgui.py,98,21,30,47,0.4795918367346938,0.21428571428571427,0.30612244897959184
compat_test.py,97,0,10,87,0.8969072164948454,0.0,0.10309278350515463
cnn_mnist.py,96,13,20,63,0.65625,0.13541666666666666,0.20833333333333331
shengc.py,96,25,22,49,0.5104166666666666,0.2604166666666667,0.22916666666666666
settings.py,96,63,18,15,0.15625,0.65625,0.1875
Knapsack_Problem.py,95,1,10,84,0.8842105263157894,0.010526315789473684,0.10526315789473684
settings.py,95,65,18,12,0.1263157894736842,0.6842105263157895,0.18947368421052632
knap_p.py,95,1,10,84,0.8842105263157894,0.010526315789473684,0.10526315789473684
stars.py,95,5,17,73,0.7684210526315789,0.05263157894736842,0.17894736842105266
py_pandas_nan.py,94,39,3,52,0.5531914893617021,0.4148936170212766,0.031914893617021274
built_in.py,94,9,1,84,0.8936170212765957,0.09574468085106384,0.010638297872340424
settings.py,94,65,18,11,0.11702127659574467,0.6914893617021277,0.1914893617021277
certification.py,93,2,4,87,0.935483870967742,0.021505376344086027,0.04301075268817205
names.py,93,25,6,62,0.6666666666666666,0.26881720430107525,0.06451612903225806
settings.py,93,65,17,11,0.11827956989247312,0.6989247311827957,0.1827956989247312
ganji_phone_speed.py,93,0,9,84,0.9032258064516128,0.0,0.0967741935483871
camera.py,92,2,25,65,0.7065217391304348,0.021739130434782608,0.2717391304347826
con_t.py,91,1,11,79,0.8681318681318682,0.01098901098901099,0.12087912087912088
settings.py,91,66,17,8,0.08791208791208792,0.7252747252747253,0.1868131868131868
hea.py,91,5,10,76,0.8351648351648352,0.054945054945054944,0.10989010989010987
key_test.py,91,0,22,69,0.7582417582417582,0.0,0.24175824175824176
settings.py,90,68,17,5,0.05555555555555555,0.7555555555555555,0.18888888888888888
self_pla.py,90,14,8,68,0.7555555555555555,0.15555555555555556,0.08888888888888889
settings.py,90,68,17,5,0.05555555555555555,0.7555555555555555,0.18888888888888888
settings.py,90,67,17,6,0.06666666666666668,0.7444444444444445,0.18888888888888888
prevent_display_stretching.py,89,13,19,57,0.6404494382022472,0.14606741573033707,0.21348314606741567
maoyan_spider.py,88,7,11,70,0.7954545454545454,0.07954545454545454,0.125
继承-学校.py,87,6,20,61,0.7011494252873564,0.06896551724137931,0.2298850574712644
tensorflow_autoencoder.py,87,10,10,67,0.7701149425287356,0.11494252873563217,0.11494252873563217
resources.py,87,0,0,87,1.0,0.0,0.0
